"date","color","site","id","wheel","sex","svl","mass","cycle","CC","CY","YC","CR","RC"
"7/21/2024","red","lascruces","ANAQ_042_2024_LC",1,"M",7.1,9.6,5,0,0,1,0,0
"7/21/2024","red","lascruces","ANAQ_043_2024_LC",2,"F",5.9,6.3,1,0,1,0,0,0
"7/21/2024","red","lascruces","ANAQ_043_2024_LC",2,"F",5.9,6.3,2,0,0,0,0,0
"7/21/2024","red","lascruces","ANAQ_043_2024_LC",2,"F",5.9,6.3,3,0,0,0,0,0
"7/21/2024","red","lascruces","ANAQ_043_2024_LC",2,"F",5.9,6.3,4,0,0,0,0,0
"7/21/2024","red","lascruces","ANAQ_043_2024_LC",2,"F",5.9,6.3,5,0,0,0,0,0
"7/21/2024","red","lascruces","ANAQ_044_2024_LC",1,"M",6.6,9.7,1,0,1,0,0,0
"7/21/2024","red","lascruces","ANAQ_044_2024_LC",1,"M",6.6,9.7,2,0,0,0,0,0
"7/21/2024","red","lascruces","ANAQ_044_2024_LC",1,"M",6.6,9.7,3,0,0,0,0,0
"7/21/2024","red","lascruces","ANAQ_044_2024_LC",1,"M",6.6,9.7,4,0,0,0,0,0
"7/21/2024","red","lascruces","ANAQ_044_2024_LC",1,"M",6.6,9.7,5,0,0,0,0,0
"7/21/2024","red","lascruces","ANAQ_045_2024_LC",2,"F",6.1,7.8,1,0,0,0,0,0
"7/21/2024","red","lascruces","ANAQ_045_2024_LC",2,"F",6.1,7.8,2,0,0,0,0,0
"7/21/2024","red","lascruces","ANAQ_045_2024_LC",2,"F",6.1,7.8,3,0,0,0,0,0
"7/21/2024","red","lascruces","ANAQ_045_2024_LC",2,"F",6.1,7.8,4,0,0,0,0,0
"7/21/2024","red","lascruces","ANAQ_045_2024_LC",2,"F",6.1,7.8,5,0,0,0,0,0
"7/21/2024","red","lascruces","ANAQ_046_2024_LC",1,"M",5.5,4.9,1,0,0,0,0,0
"7/21/2024","red","lascruces","ANAQ_046_2024_LC",1,"M",5.5,4.9,2,0,0,0,0,0
"7/21/2024","red","lascruces","ANAQ_046_2024_LC",1,"M",5.5,4.9,3,0,0,0,0,0
"7/21/2024","red","lascruces","ANAQ_046_2024_LC",1,"M",5.5,4.9,4,0,0,0,0,0
"7/21/2024","red","lascruces","ANAQ_046_2024_LC",1,"M",5.5,4.9,5,0,0,0,0,0
"7/21/2024","red","lascruces","ANAQ_047_2024_LC",2,"F",5.6,4.8,1,0,0,0,0,0
"7/21/2024","red","lascruces","ANAQ_047_2024_LC",2,"F",5.6,4.8,2,0,0,0,0,0
"7/21/2024","red","lascruces","ANAQ_047_2024_LC",2,"F",5.6,4.8,3,0,0,0,0,0
"7/21/2024","red","lascruces","ANAQ_047_2024_LC",2,"F",5.6,4.8,4,0,0,0,1,0
"7/21/2024","red","lascruces","ANAQ_047_2024_LC",2,"F",5.6,4.8,5,0,0,0,0,0
"7/24/2024","red","lascruces","ANAQ_048_2024_LC",1,"M",7.2,9.5,1,0,0,0,0,0
"7/24/2024","red","lascruces","ANAQ_048_2024_LC",1,"M",7.2,9.5,2,0,0,0,0,0
"7/24/2024","red","lascruces","ANAQ_048_2024_LC",1,"M",7.2,9.5,3,0,0,0,0,0
"7/24/2024","red","lascruces","ANAQ_048_2024_LC",1,"M",7.2,9.5,4,0,0,0,0,0
"7/24/2024","red","lascruces","ANAQ_048_2024_LC",1,"M",7.2,9.5,5,0,0,0,0,0
"7/24/2024","red","lascruces","ANAQ_049_2024_LC",2,"M",6.3,7.3,1,0,1,0,0,0
"7/24/2024","red","lascruces","ANAQ_049_2024_LC",2,"M",6.3,7.3,2,0,0,0,0,0
"7/24/2024","red","lascruces","ANAQ_049_2024_LC",2,"M",6.3,7.3,3,0,0,0,1,0
"7/24/2024","red","lascruces","ANAQ_049_2024_LC",2,"M",6.3,7.3,4,0,0,0,0,0
"7/24/2024","red","lascruces","ANAQ_049_2024_LC",2,"M",6.3,7.3,5,0,1,0,0,0
"7/24/2024","red","lascruces","ANAQ_050_2024_LC",1,"F",5.8,6,1,0,0,0,0,0
"7/24/2024","red","lascruces","ANAQ_050_2024_LC",1,"F",5.8,6,2,0,0,0,0,0
"7/24/2024","red","lascruces","ANAQ_050_2024_LC",1,"F",5.8,6,3,0,0,0,0,0
"7/24/2024","red","lascruces","ANAQ_050_2024_LC",1,"F",5.8,6,4,0,0,0,0,0
"7/24/2024","red","lascruces","ANAQ_050_2024_LC",1,"F",5.8,6,5,0,0,0,0,0
