tray,block,ind,germ,area,cross
lc_3,9,13,1,0.328,bc_lon
lc_3,9,14,0,0.329,bc_lon
lc_3,9,15,1,0.432,bc_lon
lc_3,9,16,1,0.259,bc_lon
lc_3,9,17,1,0.316,bc_lon
lc_3,9,18,1,0.311,bc_lon
lc_3,9,19,1,0.333,bc_lon
lc_3,9,20,0,0.319,bc_lon
lc_3,10,1,1,0.333,cal
lc_3,10,2,1,0.24,cal
lc_3,10,3,1,0.266,cal
lc_3,10,4,1,0.384,cal
lc_3,10,5,0,0.346,cal
lc_3,10,6,1,0.51,cal
lc_3,10,7,0,0.359,cal
lc_3,10,8,1,0.3,cal
lc_3,10,9,0,0.305,cal
lc_3,10,10,1,0.322,cal
lc_3,10,11,1,0.306,cal
lc_3,10,12,1,0.267,cal
lc_3,10,13,0,0.409,cal
lc_3,10,14,0,0.356,cal
lc_3,10,15,1,0.417,cal
lc_3,10,16,1,0.368,cal
lc_3,10,17,0,0.346,cal
lc_3,10,18,0,0.414,cal
lc_3,10,19,0,0.276,cal
lc_3,11,1,1,0.36,f1
lc_3,11,2,1,0.361,f1
lc_3,11,3,1,0.385,f1
lc_3,11,4,1,0.387,f1
lc_3,11,5,0,0.369,f1
lc_3,11,6,1,0.328,f1
lc_3,11,7,0,0.278,f1
lc_3,11,8,1,0.351,f1
lc_3,11,9,1,0.346,f1
lc_3,11,10,1,0.33,f1
lc_3,11,11,1,0.408,f1
lc_3,11,12,0,0.223,f1
lc_3,11,13,1,0.326,f1
lc_3,11,14,1,0.363,f1
lc_3,11,15,1,0.429,f1
lc_3,11,16,1,0.318,f1
lc_3,11,17,1,0.381,f1
lc_3,11,18,0,0.27,f1
lc_3,11,19,0,0.262,f1
lc_3,11,20,1,0.348,f1
lc_3,12,1,1,0.386,cal
lc_3,12,2,1,0.364,cal
lc_3,12,3,1,0.359,cal
lc_3,12,4,1,0.301,cal
lc_3,12,5,0,0.359,cal
lc_3,12,6,0,0.277,cal
lc_3,12,7,1,0.332,cal
lc_3,12,8,1,0.323,cal
lc_3,12,9,1,0.309,cal
lc_3,12,10,1,0.259,cal
lc_3,12,11,1,0.324,cal
lc_3,12,12,1,0.343,cal
lc_3,12,13,1,0.382,cal
lc_3,12,14,0,0.247,cal
lc_3,12,15,1,0.318,cal
lc_3,12,16,1,0.311,cal
lc_3,12,17,0,0.323,cal
lc_3,12,18,1,0.301,cal
lc_3,12,19,0,0.246,cal
lc_4,1,1,0,0.286,lon
lc_4,1,2,0,0.201,lon
lc_4,1,3,1,0.277,lon
lc_4,1,4,0,0.301,lon
lc_4,1,5,1,0.242,lon
lc_4,1,6,0,0.272,lon
lc_4,1,7,0,0.148,lon
lc_4,1,8,0,0.277,lon
lc_4,1,9,0,0.219,lon
lc_4,1,10,0,0.301,lon
lc_4,1,11,1,0.262,lon
lc_4,1,12,0,0.197,lon
lc_4,1,13,0,0.188,lon
lc_4,1,14,1,0.262,lon
lc_4,1,15,1,0.257,lon
lc_4,1,16,0,0.257,lon
lc_4,1,17,1,0.286,lon
lc_4,2,1,1,0.34,f1
lc_4,2,2,1,0.364,f1
lc_4,2,3,1,0.388,f1
lc_4,2,4,1,0.424,f1
lc_4,2,5,1,0.287,f1
lc_4,2,6,1,0.322,f1
lc_4,2,7,1,0.408,f1
lc_4,2,8,1,0.362,f1
lc_4,2,9,0,0.313,f1
lc_4,2,10,1,0.359,f1
lc_4,2,11,0,0.269,f1
lc_4,2,12,0,0.334,f1
lc_4,2,13,1,0.369,f1
lc_4,2,14,0,0.365,f1
lc_4,2,15,0,0.372,f1
lc_4,2,16,1,0.282,f1
lc_4,2,17,0,0.357,f1
lc_4,2,18,0,0.315,f1
lc_4,2,19,0,0.31,f1
lc_4,3,1,1,0.297,f2
lc_4,3,2,1,0.246,f2
lc_4,3,3,0,0.232,f2
